date,shift,bottles_produced,defect_count,downtime
2025-02-28,A,3652,22,36
2025-03-01,B,4317,39,94
2025-03-02,A,4404,27,6
2025-03-03,C,2668,25,119
2025-03-04,A,2808,16,76
2025-03-05,B,4596,39,30
2025-03-06,A,5372,42,37
2025-03-07,A,2493,23,98
2025-03-08,C,2895,31,47
2025-03-09,C,3181,21,85
2025-03-10,B,4858,26,115
2025-03-11,A,3033,41,8
2025-03-12,A,3337,42,27
2025-03-13,A,4681,27,95
2025-03-14,B,4524,20,98
2025-03-15,B,3490,18,116
2025-03-16,A,3224,36,82
2025-03-17,B,4012,50,36
2025-03-18,C,3540,20,17
2025-03-19,B,3459,49,104
2025-03-20,B,4014,40,13
2025-03-21,C,2856,34,108
2025-03-22,B,3809,49,37
2025-03-23,C,2395,31,97
2025-03-24,C,4093,44,104
2025-03-25,C,3332,28,51
2025-03-26,C,3279,35,67
2025-03-27,A,4837,38,18
2025-03-28,C,3466,34,68
2025-03-29,A,2445,38,2
2025-03-30,A,3321,60,75
2025-03-31,B,2865,44,94
2025-04-01,C,4459,31,29
2025-04-02,A,3886,54,25
2025-04-03,C,3702,55,78
2025-04-04,A,4266,46,27
2025-04-05,C,4934,54,45
2025-04-06,A,4688,67,67
2025-04-07,C,4546,68,71
2025-04-08,C,4065,64,58
2025-04-09,C,2956,60,13
2025-04-10,A,5324,61,72
2025-04-11,A,3067,53,91
2025-04-12,A,5274,43,41
2025-04-13,A,4776,44,111
2025-04-14,C,2502,56,115
2025-04-15,C,4587,49,106
2025-04-16,B,2764,63,25
2025-04-17,B,3032,59,89
2025-04-18,B,5008,51,119
2025-04-19,C,4074,72,53
2025-04-20,B,2269,68,30
2025-04-21,A,4587,69,34
2025-04-22,B,2861,57,67
2025-04-23,A,5460,64,101
2025-04-24,C,3420,63,76
2025-04-25,A,3820,48,75
2025-04-26,B,5116,68,66
2025-04-27,C,3996,50,54
2025-04-28,B,3902,77,83
2025-04-29,A,4566,65,81
2025-04-30,B,3928,70,78
2025-05-01,B,2820,74,78
2025-05-02,B,5206,82,85
2025-05-03,A,2603,71,69
2025-05-04,B,5479,78,88
2025-05-05,A,2702,70,91
2025-05-06,A,5232,79,41
2025-05-07,C,3744,80,70
2025-05-08,B,5409,63,20
2025-05-09,A,4307,87,67
2025-05-10,C,3395,89,9
2025-05-11,C,2035,58,23
2025-05-12,C,3246,88,26
2025-05-13,C,4356,91,60
2025-05-14,C,3190,60,57
2025-05-15,C,2758,65,112
2025-05-16,A,3422,91,3
2025-05-17,A,2097,73,68
2025-05-18,C,4086,92,11
2025-05-19,C,3163,75,108
2025-05-20,A,2878,93,12
2025-05-21,C,2172,97,89
2025-05-22,A,2017,72,92
2025-05-23,B,5236,71,84
2025-05-24,B,5057,76,53
2025-05-25,B,2400,83,7
2025-05-26,B,3972,80,24
2025-05-27,B,5241,75,70
2025-05-28,C,4694,72,72
2025-05-29,B,3617,85,82
2025-05-30,C,2069,83,91
2025-05-31,C,4949,72,74
2025-06-01,B,3087,102,69
2025-06-02,B,4160,87,73
2025-06-03,C,5016,87,60
2025-06-04,A,3372,89,87
2025-06-05,B,3631,84,119
2025-06-06,A,4619,102,22
2025-06-07,C,2427,94,26
