date,shift,bottles_produced,defect_count,downtime
2025-02-28,B,3144,12,36
2025-03-01,B,4798,36,114
2025-03-02,C,5352,36,95
2025-03-03,C,5148,39,80
2025-03-04,C,3116,17,41
2025-03-05,A,4778,12,38
2025-03-06,A,3664,28,2
2025-03-07,A,5076,46,67
2025-03-08,C,4763,35,101
2025-03-09,B,4959,17,14
2025-03-10,B,2521,15,6
2025-03-11,B,4374,48,58
2025-03-12,A,4777,40,106
2025-03-13,A,2590,30,11
2025-03-14,A,2212,22,20
2025-03-15,B,5132,48,119
2025-03-16,B,4526,30,6
2025-03-17,A,5210,49,85
2025-03-18,C,2115,43,99
2025-03-19,A,2805,51,41
2025-03-20,B,4645,33,86
2025-03-21,B,5309,23,15
2025-03-22,C,4585,55,66
2025-03-23,A,5053,27,44
2025-03-24,C,2861,50,95
2025-03-25,C,2497,41,68
2025-03-26,B,3319,59,82
2025-03-27,A,4764,58,103
2025-03-28,A,4582,40,57
2025-03-29,B,3686,48,89
2025-03-30,C,2789,29,81
2025-03-31,A,5180,61,46
2025-04-01,B,4564,49,92
2025-04-02,A,2485,53,50
2025-04-03,B,3653,63,98
2025-04-04,B,2310,41,87
2025-04-05,B,3530,38,30
2025-04-06,C,5492,64,103
2025-04-07,B,5133,47,38
2025-04-08,B,3261,61,20
2025-04-09,A,4298,57,112
2025-04-10,A,5194,51,57
2025-04-11,A,3746,36,109
2025-04-12,A,2254,69,2
2025-04-13,B,3161,61,29
2025-04-14,C,2850,53,98
2025-04-15,C,3325,59,79
2025-04-16,B,3133,49,84
2025-04-17,B,2809,45,59
2025-04-18,C,2702,43,115
2025-04-19,B,3404,64,65
2025-04-20,C,2769,49,114
2025-04-21,B,2039,51,83
2025-04-22,C,2897,69,7
2025-04-23,C,4699,58,12
2025-04-24,A,2607,56,86
2025-04-25,A,2421,76,94
2025-04-26,B,5256,75,80
2025-04-27,B,3398,75,85
2025-04-28,A,2844,62,47
2025-04-29,A,3009,69,0
2025-04-30,C,4479,52,47
2025-05-01,B,4923,78,102
2025-05-02,C,5498,74,106
2025-05-03,B,4297,59,44
2025-05-04,A,2962,76,90
2025-05-05,A,2184,73,79
2025-05-06,A,3705,71,117
2025-05-07,C,5150,84,31
2025-05-08,A,4980,87,7
2025-05-09,A,3288,72,56
2025-05-10,C,4212,78,3
2025-05-11,C,4786,86,71
2025-05-12,C,5012,88,38
2025-05-13,A,4580,75,80
2025-05-14,B,3944,73,31
2025-05-15,C,5283,70,53
2025-05-16,C,4207,67,17
2025-05-17,C,3122,75,37
2025-05-18,A,3511,90,70
2025-05-19,B,4367,64,94
2025-05-20,B,3120,98,117
2025-05-21,C,2407,90,58
2025-05-22,C,4415,84,20
2025-05-23,B,3281,81,99
2025-05-24,A,2376,79,4
2025-05-25,A,2786,98,118
2025-05-26,A,4097,92,4
2025-05-27,C,3557,86,38
2025-05-28,A,3904,102,4
2025-05-29,C,2002,88,60
2025-05-30,C,5294,93,34
2025-05-31,B,3425,80,59
2025-06-01,B,2225,80,30
2025-06-02,C,4057,81,35
2025-06-03,B,3986,97,73
2025-06-04,C,5067,104,77
2025-06-05,C,5135,86,44
2025-06-06,A,3611,82,3
2025-06-07,B,4919,89,50
